city	country	description	location	state	state_abbrev	longitude	latitude	city_longitude	city_latitude	Haunted Places Date	wiki_date	Final Date	Parsed Year	Final Year	Year Match	Wiki Year	Wiki Verified	Keep Entry
Bloomfield	United States	A side street north of 16 mile on Woodward holds a very creepy place called Trowbridge. It is a very rich area an local kids that were depressed would jump off the bridge which was a 100 ft. drop to there death, one instance on a Sunday from 8p.m until 12 midnight every half hour on the hour a kid would commit suicide until midnight when the train came an dismembered there corpses. The kids would spray paint there names or something to be remembered by on the wall. It is on a street called Trowbridge, very creepy street with huge houses take it down half a mile an on the left hand side before the street ends is the bridge. Go at your own risk because the place has been known to have many freaky occurrences an not to mention a monks monastery about a mile down the road. - October 2003 Update: The Police DO issue trespassing tickets for $250.00 because the train bridge and tracks are federal property and by being on it you are trespassing on federal property. - February 2004 Update: Police patrol there quite frequently and the neighbor across the street won't hesitate to call them.	Trowbridge Road	Michigan	MI	-83.2342207	42.5778303	-83.2827093	42.5793103	2004-02-01		2004-02-01	2003.0	2004.0	True		False	True
Bloomfield	United States	"Sacred Heart Academy - There is a statue of Mary with her hands raised in the air.. (You can see it as you drive by, its in the front yard.) The urban legend goes that there were 2 young boys playing by the statue. They were supposed to come home when the streetlights come on but never did. The parents started looking for them and found a bloody message on the base of this statue that said ""Don't let your kids play after dark"". With the fingers of the statue cut off and blood coming out. If you go there today you'll see the fingers cut off and the eyes gouged out.- August 2005 Update: This is believed to be a hoax. a visitor to our site reports the hands of the statue are intact."	Trowbridge Road	Michigan	MI	-83.2342207	42.5778303	-83.2827093	42.5793103	2005-01-01		2005-01-01	2005.0	2005.0	True		False	True
Borculo	United States	What used to be an old, one-room schoolhouse, is now said to inhibit guests from the paranormal realm. It is said a former teacher, by the name of Ms. Van moss, would abuse the children so badly that one day after a playground mishap, Vanmoss struck a child so hard in the head that the child died immediately. Today, the schoolhouse is a well know restaurant, but the customers report seeing a small child sitting solemnly alone at a booth in the corner. There have also been reports of silver wear being randomly thrown across the room.	The Old School House	Michigan	MI	-86.013767	42.885003	-86.0211532	42.8850235	2025-01-01	1555-01-01			1979	False	1979	True	True
Breckenridge	United States	Used to be the elementary school but in 1994 they built a new one and now it is a school for mental teenagers, and a place for events. It was said A few years after the school was built(1936)there was a little space in the wall that they boarded up, and some kid unbounded it and shoved another kid in there then boarded it back up, The kid died in the hole and a while later they found him, Now if you go in there by yourself the lockers open and close by themselves and you can here kids laughing, sometimes the toilets flush by themselves and the sinks turn on and off by themselves.	AIM School	Michigan	MI	-84.47591539999999	43.4146517	-84.4749978	43.4080849	1994-01-01		1994-01-01	1994.0	1994.0	True		False	True
Brooklyn	United States	in the house its said that there are noises that can be heard in a closet and the attic. And it is said that a man killed 3 people in the house and then himself. And so now the man is looking all over the house for the 3 people so he can kill them again.	Clarklake	Michigan	MI	-84.2482819	42.105874	-84.2482819	42.105874	2025-02-03		2025-02-03		Unknown	False	Unknown	True	True
Brownstown	United States	Back in the early 90's there was a rumor heard of a man with a ax walking around in the woods and every time a kid from the neighborhood walked into the woods they would see him for a split second but then the face disappeared it was said that someone actually got it on video tape but now you only see it during a full moon you can see an extra shadow walking besides you with a man and a axe.	Dawnshire Park	Michigan	MI	-83.220996	42.1663269	-83.2572332	42.1261157	2025-01-01	0199-02-26			Unknown	False	Unknown	True	True
Brownstown	United States	Rumors of a little boy and a tall man are said to haunt oak ridge anytime from about 9:00pm to 3:00 am.	Oak ridge cemetery on Telegraph	Michigan	MI	-83.269511	42.131493	-83.2572332	42.1261157	2025-02-26		2025-02-26		1840	False	1840	True	True
Burton	United States	ticking clocks that are not there. Things will turn on by them self.	Naturally You	Michigan	MI			-83.6163423	42.99947179999999	2025-01-01	2025-01-01	2025-01-01		Unknown	False	Unknown	True	True
Calumet	United States	As you go in the old place back in 1903 a man was murdered but all sorts of orbs were seen and sightings and even screaming in the break of the night as you still go there you can hear screams and screams of a young girl that had died there her name was Elanda Rowe. The ghost of the great actress Helena Modjeska has also been seen here and is considered the resident ghost.	Calumet theatre	Michigan	MI	-88.45344229999999	47.24782339999999	-88.45400599999999	47.24659219999999	1903-01-01		1903-01-01	1903.0	1903.0	True		False	True
Canton	United States	The story goes that a group of kids were playing chicken near Denton Road bridge, and one of them proved to be chicken. His car swerved off the road when they reached the bridge, and crashed into the river below. Many people claim to see a light come out of river and chase their vehicle to the end of the road, if they stop at the center of the bridge at night.- November 2003 Update: the road has been reconfigured in that area and that the bridge no longer exists. That is not to say that the hauntings no longer occur.	Denton Road Bridge	Michigan	MI	-83.52522599999999	42.2853235	-83.48211599999999	42.3086444	2003-01-01		2003-01-01	2003.0	2003.0	True		False	True
Cass City	United States	Back in the 1800's a young lady got in a horse and buggy accident. Her buggy wheel went off the bridge and flipped, she drown in 2 feet of water. On foggy summer night you can see her hand come up over the road and hear her please for help!	Crawford Rd. bridge	Michigan	MI	-83.1334217	43.5727986	-83.17466929999999	43.6008515	2025-02-02		2025-02-02	1800.0	1898	False	1898	True	True
Central Lake	United States	The Lamplights Inn has been a landmark in Central Lake since 1924. It was built in the very early 1900s. Beginning in the early '50s, the successive owners have had persistent reports of ghosts. A man and woman dressed in late '20s - early '30s garb have been seen many times over the years, not only by owners' families, but also by employees and customers alike. The descriptions are uncannily similar. A customer recently reported the man and woman ghosts dancing together in the bar area with a little girl ghost looking on. These ghosts also window peep (on the second floor). They certainly appear to be fun loving. Another story tells of the daughter of a former hotel manager, who was preparing to elope with her fiancée, and tripped on her gown while descending the ladder. She fell to her death and returns to walk the hallway upstairs in her wedding gown. And, it is a fact that Mrs. Gill who, with her husband, were the first managers of the hotel, returned and lived out her remaining years at the hotel. She died in the early '50s in one of the upstairs bedrooms. Many people have reported seeing her stand in the upstairs window looking onto the village. In 1979 Ted Strzempek bought the lamplight he said he was in the upstairs hallway painting when a women in a white dress ran by him and through all the boxes he had stacked by the wall she ran into a bedroom and he ran in after her only to find an empty room. The Murphy's now own the lamplight and if you ask them if the lamplight is haunted they will not deny it.	Murphy's Lamplight Inn	Michigan	MI	-85.264923	45.0720901	-85.2645105	45.0700047	1924-01-01		1924-01-01	1924.0	1924.0	True		False	True
Charlotte	United States	when you are in the bottom of the theatre you will feel a coldness breeze and people say that is Rick Eaton the theatre was named after him. he died in 1923 and the theatre was built in 1902. Rick was a nice guy and his poor wife killed herself on the bottom below the upstairs and she shot herself and the bottom was where Rick died. he was up on the little balcony in the bottom and he was painting and he fell off.	Eaton Theatre	Michigan	MI	-84.8354913	42.56126099999999	-84.83582109999999	42.5636478	1923-01-01		1923-01-01	1923.0	1923.0	True		False	True
Cheboygan	United States	An old farmer went insane and killed his family and then himself. If you go out to the site at night you feel overwhelmed by fright. And never take a stone from the tomb you will be dealt with in a not so nice matter. 2 people drove over the tomb on purpose and there truck just died for no reason. There friends in a car behind them had the steering wheel jerked and they crashed into a tree.	Hikyes Tomb	Michigan	MI			-84.4744795	45.64695630000001	2025-02-28		2025-02-28		Unknown	False	Unknown	True	True
Cheboygan	United States	January 2007 has been removed	Pellston	Michigan	MI	-84.7839364	45.552789	-84.4744795	45.64695630000001	2007-01-01		2007-01-01	2007.0	2007.0	True		False	True
Chelsea	United States	The foundation of the house is still there. They say at night the house reappears. Also at the back of the house, there are slave house's and old barn which are said to be haunted.	Pink Palace	Michigan	MI			-84.0205029	42.3180919	2025-01-01	1957-01-01	1957-01-01		1957.0	False	1957	True	True
Chesaning	United States	Store merchandise has been found moved when stores are opened in the morning. Employees hair pulled, employee shoved, voices can be heard at night. A Santa decoration was seen by 3 eye witnesses as it lifted from a table and was sat down on the floor outside a store. Transparent images of a woman and man seen separately over periods of time. Numerous unexplainable events occurring since mall opened in 1985. Unknown before this date. A smallpox outbreak in 1837 devastated some of the last remaining Indians in this area before the village of Chesaning was started.	Chesaning Market Street Square (a mini mall with indoor shops)	Michigan	MI			-84.11497469999999	43.1847483	1985-01-01		1985-01-01	1985.0	1985.0	True		False	True
Clarkston	United States	In the late 1800 a man was slaughtered off of what is now dixie and white lake road. Reports from employee's say that the man comes out at night and walks towards deer lake raquet club and back to cvs.	CVS off dixie us 20	Michigan	MI	-83.426161	42.7229641	-83.4192941	42.7351196	1800-02-26		1800-02-26	1800.0	1800.0	True		False	True
Clinton Township	United States	There have been several acts of violence here. About 20 years ago a man escaped from a mental home and broke into the front office. In the process he broke several windows, trashed the place, slit his wrists and neck, and was found by the sales staff in the morning wrapped in a blanket talking to himself. He did not die but it was a very violent experience. 10 or so years ago a man was distressed over losing his parents and shot himself in the head overnight on top of his parent s grave. Several of the grounds crew have seen a man dematerialize in the same area a few times. This was in the summit hill garden which is the oldest garden in the cemetery. In the day or night there can be an overwhelming feeling of being watched. About 6 or 7 years ago there was a sales manager who quit after seeing an Indian in the sales office walk thru a wall. There is also a story not verified that a police officer shot a teenager on the grounds and the boy died and was buried there. In the months following the cop went mad and one night was caught wearing camouflage and face paint digging up the boy that he killed. There have also been a few graves that people have tried to dig up but have failed since the vault lids are VERY heavy. Whispers and screams have been heard.	Cadillac Memorial Gardens East	Michigan	MI	-82.9564118	42.5811627	-82.9195514	42.5868882	2025-02-20		2025-02-20		1985	False	1985	True	True
Clinton Township	United States	During The Night Here, You Can See Ghosts Of People who were killed by the train. And when you walk around the park at night you can see black figures in the wood line at the back of the park. And You Can Also See Ghosts Of Animals. Legend is that this park was built on old cemetery that was there in the 1800's.	Rudgate Manufactured Home Park	Michigan	MI	-82.91593259999999	42.57925609999999	-82.9195514	42.5868882	2025-01-01	2025-01-01	2025-01-01	1800.0	Unknown	False	Unknown	True	True
Clyde township	United States	They say that if you go to the end of Shoefelt road at about midnight on Friday nights you will here an old hunter shooting his gun off, because the old man used to hunt out there a lot and then he died and he doesn't like it when people hunt or have fun on his hunting spot so he will scare you off by shooting his gun and than walking around by your car hollering.	Shoefelt Rd	Michigan	MI	-82.56376	43.0362674	-82.5834947	43.0313165	2025-02-28		2025-02-28		Unknown	False	Unknown	True	True
Cockeysville	United States	Built over a cemetery where odd things always seem to occur. There is a Haunted House and Haunted Hayride in October, which seems eerie because the real ghost isn't in costumes, but it is a great place to go for scares!	Padonia Park Club	Michigan	MI	-76.671167	39.4536423			2025-10-26		2025-10-26		Unknown	False	Unknown	True	True
Coldwater	United States	haunted by the ghosts 2 children who are seen on the stairs.	Halstead House	Michigan	MI			-85.00052149999999	41.9403263	2025-02-02		2025-02-02		2011	False	2011	True	True
Coldwater	United States	"On the end of a deep, wide ,circular pit is a mausoleum. It is painted green, vines have long since overgrown the name and front. Pictures taken on three different days and times (lighting) all show a ""mist"" in the top corner. One the shape of two figures is clearly visible. Vandals have written, ""meg lives"" on the ground in front and a pentagram in red on the door. A deep sense of unease is felt in this circle. This is located in the old section of the cemetery, you get a very strange feeling as you walk through it."	Oak Hill Cemetery	Michigan	MI	-85.17774469999999	42.3062055	-85.00052149999999	41.9403263	2025-01-01	2025-01-01	2025-01-01		Unknown	False	Unknown	True	True
Croton	United States	There was a young boy in the 1970's who was fishing at the top of Croton Dam. He slipped and fell in the turbines, and was killed. Several fishermen have claimed they have seen the boy walking at the top of the dam sobbing. Most sightings have been in the early morning before sunrise. The boy's figure is illuminated by the lights at the top of the dam, and he is said to be walking about ten feet above the wall. The fisherman of the community seem to believe he is a sign of good luck, who ever spots him seems to have a prosperous day.	Croton Dam	Michigan	MI	-85.66338909999999	43.437111	-85.62292959999999	43.4194319	1970-01-01		1970-01-01	1970.0	1970.0	True		False	True
Crystal Falls	United States	In the late 1800's when iron ore mining was in its prime, a group of 27 miners were killed when the mine caved in and drowned them. People who live close by can sometimes hear screaming and noises like someone was hitting a pick against a rock. Apparitions can be seen in and around the water where the mine filled with water. Lights of the mining helmets are seen coming from below the water.	Mansfield mine cave-in	Michigan	MI			-88.3340242	46.0980066	2025-02-27		2025-02-27	1800.0	Unknown	False	Unknown	True	True
Dansville	United States	Along time ago, there was a lady who lived 2 miles back on Seven Gables Road. She was involved in witchcraft, and she put a curse on Seven Gables road. IF you heard someone scream, The last person to jump over the fence would die. a few years later, she forgot all about the curse, and she heard a baby scream, then she jumped over the fence and 2 months later she was dead. 25 years after, a man, his wife and his 2 kids, moved into that same house, The man went Mentally insane, burned down the house with his family inside, grabbed a shot gun, when down the road planning to shoot himself in the head. Instead he found a rope on a tree and hung himself. Now they say that the witch haunts seven gables, she doesn't want anyone there, Every person that has attempted to go to seven gables have taken Williamston road and either died by a car accident or almost died. No one know why. Trust me we know.	Seven Gables	Michigan	MI	-84.3172743	42.5293347	-84.3033013	42.555869	2025-02-02		2025-02-02		1850	False	1850	True	True
Davison	United States	people report seeing a man run in the woods, orbs around the building ,faces looking out the window. The place is closed down now and seems not to be able to stay open. When it was open people would report dishes moving and pots and pans falling from where they are at .on the dance floor people report seeing ghost dance.December 2006 – update: About a year ago a bad wind storm collapsed the porch roof of the building, and buckled parts of the walls. The building is considered unsafe and will most likely be torn down soon.	Russelville ballroom	Michigan	MI	-83.516398	43.031357	-83.5180063	43.0347491	2006-12-01		2006-12-01	2006.0	2006.0	True		False	True
Dearborn	United States	"Overnight maintenance and guards have reported seeing children running through the building. The lifeguard break room is always cold and often feels like someone is watching. At night the gates rattle and shake. Children can be heard calling out ""Jack"" (the person the pool is named for) or the night maintenance man's name. Also footsteps can be heard throughout the night. Police often are called in to make sure it is not vandals. Never find anything but the noises continue."	Dunworth Pool (Seashore)	Michigan	MI	-83.2780925	42.3171511	-83.17631449999999	42.3222599	2025-01-01	2025-01-01	2025-01-01		Unknown	False	Unknown	True	True
Dearborn	United States	Henry ford museum -  Henry ford museum has a car from the time President Kennedy was Shot. In the evening on the anniversary he has been spotted standing next to his car waving to the security officers and leaving a single red rose on the hood of the car. Often felt a cold wind and was also told he said that there was two men that As well was not the man that shot him there was another man out side the building that was standing on the lawn where there was trees and shot him.	Greenfiled village	Michigan	MI	-83.2246496	42.3053156	-83.17631449999999	42.3222599	2025-01-01	0200-02-26			Unknown	False	Unknown	True	True
Dearborn	United States	Doors and windows opening and shutting on their own. Several reports of the figure of a man following someone and vanishing. Reports of a man in and old fashioned uniform wandering the hallway and vanishing (a witness who spotted this later saw a picture of the Ford's butler and said that it was the same person that they spotted). The Michigan Ghost Watchers did an investigation at the estate and got pictures of orbs, mists and a figure of a man in one of Mr. Ford's cars.	The Henry Ford Estate	Michigan	MI	-83.2324072	42.3140335	-83.17631449999999	42.3222599	2025-01-01	2025-01-01	2025-01-01		Unknown	False	Unknown	True	True
Dearborn	United States	It's a local community theatre to which I belong. Pictures have been taken of outlines of ghosts and it has been known to play tricks on members of The Guild. I have had a few encounters with the ghost. Hearing footsteps, when no one is around, and things moving around. At times, there is also a heavy breathing coming from stage Right.	Players Guild of Dearborn	Michigan	MI	-83.249648	42.2912778	-83.17631449999999	42.3222599	2025-01-01	2025-01-01	2025-01-01		Unknown	False	Unknown	True	True
Dearborn	United States	It is known that when your in suite 418 the doors will close and open; And the lights will flicker on/off three times and the bathroom door will swing open; And the two French doors will fly open, and after you close it the handles will move up and down.	Ritz Carlton Hotel	Michigan	MI	-83.2170915	42.3204642	-83.17631449999999	42.3222599	0418-02-26				1983	False	1983	True	True
Dearborn Heights	United States	About 33 years ago, at a old school called Berwyn elementary(located at Berwyn and Richardson), there was a janitor that hung himself in the location of where the library stands today. Today it is called the Berwyn Senior Center. It is said by the senior citizens, and neighborhood kids, that they hear keys rattling, tapping on the glass of the library windows, moaning, and sometimes a figure or a face in the library's windows. Many say that this place is haunted.	Berwyn Senior Center	Michigan	MI	-83.297266	42.3367661	-83.27326269999999	42.3369816	2033-02-26		2033-02-26		Unknown	False	Unknown	True	True
Dearborn Heights	United States	Computer number 25 is definitely haunted by an old senior who didn't not graduate because he failed computers. Now the computer acts up and any senior who sits at that computer passes with an 'A'. All the work is already done. This ghost is unlike any other ghost, he is a kind one!	Crestwood Computer Lab	Michigan	MI	-83.2932414	42.3220925	-83.27326269999999	42.3369816	2025-02-25		2025-02-25		2009	False	2009	True	True
Dearborn Heights	United States	The Pool area was torn down this past summer, 2002 - There is a closed pool were a girl dove in and crack her head open and died and people reported that they saw her roaming the halls and her in the pool area. Also they heard her say student's names. Couple people claim they saw her in the pool area wearing blonde hair that is shoulder length with blue eyes.	Riverside Middle School	Michigan	MI	-83.2941007	42.3422737	-83.27326269999999	42.3369816	2002-01-01		2002-01-01	2002.0	2002.0	True		False	True
Dearborn Heights	United States	A few years ago there was a fight at the park, and it involved many people and someone pulled out a gun and told everyone to stop fighting and they kept fighting so then he shot someone and killed them. People say that if you go there at 7.45 at night by the back picnic tables you will here a gun shot then a man will appear then leave, the shooting happened like 13 years ago.	Silvery lane park	Michigan	MI	-83.2829189	42.3412156	-83.27326269999999	42.3369816	2025-02-07		2025-02-07		Unknown	False	Unknown	True	True
Decatur	United States	formerly listed under Van Buren County - this is where the Morris Family is buried at, who were murdered in there own home on Sept 29th 1879.it is said that if u go to the grave yard on this date the 29th of Sept, you can see Ester and Charles Morris, by there tombstone which is the only pillar stone under the only ever green trees in the center of the grave yard. -  March 2004 Update/Correction: Henry and Esther Morris did have a child, but he/she died in infancy several years before the murders. At the time she died Esther Morris was pregnant. And the maid was not killed; she was in the house asleep at the time. The Morrises lived in a house considered by the people of the time to be a mansion, and were considerably wealthy. Additionally the murderer didn't arrive on horseback as far as can be discerned, but he did steal the Morris' buggy pulling horse. The murders took place September 28, 1879. And Anderson cemetery is considered a part of Decatur since it is in Van Buren, not a part of Marcellus, which is in Cass County.	Cass County – Anderson Grave Yard	Michigan	MI			-85.97445689999999	42.1080979	2004-03-01		2004-03-01	1879.0	2004.0	True		False	True
Detroit	United States	A former employee killed himself on the 2nd floor .....so every night around 11:00 pm ....he roams the building ...operating the elevator and walking the stairs...... When he is really restless he rides the elevator with the living stopping on the 2nd floor on every up and down trip.....	Dept Of Transportation Main Office	Michigan	MI	-83.05254099999999	42.3618853	-83.0457538	42.331427	2025-02-02		2025-02-02		2025	False	2025	True	True
Detroit	United States	"This huge edifice was built in 1912 especially for the Masons. The building has over 1,000 rooms, many secret passages, and secret floor compartments. The builder, a gentleman named George D. Mason, was said to have gone broke financing the building, and having lost all his money (and his wife, who left him shortly after filing bankruptcy) became despondent & jumped off the roof to his death. Night watchmen have seen his transparent form at the bottom of the stairs that lead to the roof. Also, one of the roof doors will always be open, sometimes only moments after the watchman has locked it. Many other unusual sightings have occurred there, including unnatural cold spots and shadows moving in the third floor hallway behind the Drill Hall, various footsteps, the sound of doors slamming in locked, unoccupied rooms, and feelings of being ""watched"" or being ""unwanted"". Many night watchmen have quit on the spot after having an experience with a ghost, and others refuse to even enter certain rooms."	The Detroit Masonic Temple	Michigan	MI	-83.0601885	42.3415452	-83.0457538	42.331427	1912-01-01		1912-01-01	1912.0	1912.0	True		False	True
Detroit	United States	a man was saved from being crushed by a ghost of man that died that way in 1944.	General Motors Plant	Michigan	MI	-83.0463127	42.3800828	-83.0457538	42.331427	1944-01-01		1944-01-01	1944.0	1944.0	True		False	True
Detroit	United States	Clara Ford Pavilion - formerly a live-in nursing school is quite haunted. Security and maintenance personnel have had doors locked behind them during the early morning hours. One of the first floor boardrooms has a particularly obvious cold spot and a feeling of dread, as well as the smell of decay. In 1926 a nursing student, distraught over failing grades, took her own life by jumping from the roof onto the stone walk of the courtyard below. The doorway she used to gain access to roof will reportedly not stay closed on the anniversary of the event. A nurse there comes in every morning to the basement section and always has to close the 75lbs lead door to the x-ray room, when she is positive they close this every night before the last doctor leaves.	Henry Ford Hospital	Michigan	MI	-83.08518980000001	42.3673317	-83.0457538	42.331427	1926-01-01	1915-01-01	1926-01-01	1926.0	1926.0	True		False	True
Detroit	United States	magic stick - The Majestic is a theater on Woodward, It is where Harry Hudini did his final show, there is a basement below the theater that if you go down to is now a small room and a hallway that has been bricked up there has been several occasions people have seen someone coming from the basement--there is also an old mezzanine that is covered by a large drape you can hear applause and screaming coming from there. in the other part of the building there is a bowling ally(the garden bowl) and a pool hall/concert (magic stick) area above the bowling ally on several nights after all the patrons left several of us sat drinking in the garden bowl, you could hear a man yelling and running footsteps from the magic stick. thinking that someone had snuck in or stayed past closing, all of us split up and ran up the main and rear stairs not finding anyone this happened several times over the 3 years.	Majestic	Michigan	MI	-83.20475429999999	42.3459369	-83.0457538	42.331427	2025-03-01		2025-03-01		Unknown	False	Unknown	True	True
