city	country	description	location	state	state_abbrev	longitude	latitude	city_longitude	city_latitude	description 2	Audio Evidence	Image/Video/Visual Evidence	Haunted Places Date	Haunted Places Witness Count	Time of Day	Apparition Type I	Apparition Type II	Apparition Type III	Event Type	Alcohol Abuse Rate	Amount of daylight	Sunrise Time	Sunset Time	Max Temperature	Min Temperature	Precipitation	comment count	EHP rating	image	urban_or_near	color	element	Dimensions
Butler County	United States	"Burton Road -""Snyder Cemetery"" Red eyes will chase you out. Also, something else could chase you out. It is Conrad Snyder who is haunting his family's resting place."	Moraine State Park	Pennsylvania	PA	-80.097413	40.9422565	-79.8296743	40.9115243		False	True	1977-03-07	0	Unknown	Unknown	Unknown	Unknown	Unknown	18.5	11:33	6:45	6:18	3.5	-1.8	0.5	Unknown	Unknown	Unknown	False	RGB(176, 181, 182)	dining table, bench	474x338
Butler County	United States	Snyder Cemetery - A green glowing light come from a small gravestone, white flashes of light, weird fog reported.	Moraine State Park	Pennsylvania	PA	-80.097413	40.9422565	-79.8296743	40.9115243		True	True	1977-03-07	0	Unknown	Orb	Unknown	Unknown	Murder	18.5	11:33	6:45	6:18	3.5	-1.8	0.5	Unknown	Unknown	Unknown	False	RGB(176, 181, 182)	dining table, bench	474x338
Butler County	United States	Snyder Cemetery - A green glowing light come from a small gravestone, white flashes of light, weird fog reported.	Moraine State Park	Pennsylvania	PA	-80.097413	40.9422565	-79.8296743	40.9115243		True	True	1977-03-07	0	Unknown	Orb	Unknown	Unknown	Murder	18.5	11:33	6:45	6:18	3.5	-1.8	0.5	Unknown	Unknown	Unknown	False	RGB(176, 181, 182)	dining table, bench	474x338
Butler County	United States	"At night, voices of little children playing can be heard when out where the old railroad tracks used to be in the woods. Also, the old train conductor lantern moves up and down the tracks, but disappears when approached. In the early dawn, a train whistle can be heard, with no active railroads in the area. - March 2008 additional information: At There are many trains that still run in the area and anyone that knows the area, also knows the trains still run in East Butler and in Butler itself. As far as the lights, it is well known and also documented in the local newspaper the ""Butler Eagle"" about the ""phantom train"" in the area. It seems that some locals have fun and set up train lights and whistles near the cross roads and turn them on as cars and people pass by to see who will stop or look out for the train. There are no tracks anymore and it is pretty humorous for those involved."	Summit Township elementary school woods	Pennsylvania	PA	-79.82807609999999	40.8414526	-79.8296743	40.9115243		True	True	2008-03-07	1	Morning	Ghost	Several Ghosts	Unknown	Murder, Death	18.5	11:35	6:43	6:17	5.8	-2.1	8.0	Unknown	Unknown	Unknown	True	RGB(170, 173, 143)	Unknown	474x248
Cambridge Springs	United States	Guests have reported ghosts crawling into bed with them, music heard coming from the ballroom along with, ghostly apparitions dancing. Doors opening and closing can be heard at various times of the day even when no one is there.	The Riverside Inn	Pennsylvania	PA	-80.05375099999999	41.805687	-80.0564443	41.8036675		True	True	2017-05-02	0	Unknown	Ghost	Several Ghosts	Unknown	Supernatural Phenomenon	18.5	14:04	6:14	8:19	16.1	7.2	5.4	Unknown	Unknown	Unknown	False	RGB(23, 57, 23)	Unknown	474x314
Camp Hill	United States	In the lower level of Camp Hill High School there is a small metal door that is about 3 feet off the ground.  Although all of the school has been redone this part was left alone.  The door is usually locked, although some have been able to get inside.  The floor is still just dirt and there are mounds the span the small space.  A small children's cemetery used to be where the school is now. It is said that when the school was built they did not was to disturb the bodies.  People have reported seeing small girls running down the hall way, reports of foot steps down the halls and the sounds of small girl's voices can be heard.	Camp Hill High School	Pennsylvania	PA	-76.925919	40.23841789999999	-76.9199742	40.23981180000001		True	True	1907-03-07	1	Unknown	Unknown	Unknown	Unknown	Murder	18.5	11:31	6:33	6:04	unknown	unknown	unknown	Unknown	Unknown	Unknown	True	RGB(32, 29, 24)	bench, bench	380x254
Camp Hill	United States	is a technical school. The president was killed several years back and at nights the lights flicker along with doors becoming unlocked. Ironically no one has ever stole anything.	The Computer Learning Network	Pennsylvania	PA	-76.9219488	40.248876	-76.9199742	40.23981180000001		True	True	2025-01-01	0	Unknown	Unknown	Unknown	Unknown	Unknown	18.5	09:22	Unknown	Unknown	unknown	unknown	unknown	Unknown	Unknown	Unknown	True	RGB(200, 201, 203)	laptop, person, person, person, person, person, laptop, laptop, tie, laptop, dining table, tie, tie, mouse, chair, person	474x355
Camp Hill	United States	"Sounds has been said to be haunted for years by a bride and also possibly by another figure, a man. When you walk into the establishment, some people are said to have felt a presence in the room and many times feel""heaviness"" in their head which sometimes turns into a different sort of headache. Sometimes the presence felt is a sort of sadness, ""heavy-hearted."" There were two pictures taken by my family that have shown orbs in them."	Sounds The Iron Kettle	Pennsylvania	PA			-76.9199742	40.23981180000001		True	True	2025-01-01	3	Unknown	Orb, Ghost	Several Ghosts	Male Ghost	Unknown	18.5	09:23	Unknown	Unknown	unknown	unknown	unknown	Unknown	Unknown	Unknown	unknown	RGB(65, 97, 125)	Unknown	474x750
Canonsburg	United States	"The Canonsburg Subway was said to have been built on an old nursing home. The employees there have experienced a ghost whispering their names in their ears, swinging of the doors even though they are the only person in the store, and even report seeing a shadowy figure in the security camera again when no one is present in the store. They have dubbed the ghost ""Fred""."	Subway	Pennsylvania	PA	-80.1814997	40.2601714	-80.18727969999999	40.2625702	 42.353279°, -71.064361°  Tremont Street at Boylston Station, Boston , Massachusetts Boylston Station in Boston , Massachusetts first opened on September 3, 1897, and is renowned as being the first subway station in the United States . Boylston Station and many of its surrounding tunnels are believed to be haunted by the spirits of over nine-hundred British soldiers who were discovered buried in a mass grave during its construction, as well as six men and women who were killed in a gas line explosion in March of 1897. Passengers on the subway frequently report witnessing apparitions and hearing disembodied voices, as well as experiencing feelings of being watched by an unseen entity, especially at night when the location is less populated. In 2013, a group of paranormal investigators was filmed investigating Boylston Station for a television show called Haunted Encounters . During the investigation the group reported experiencing unexplained technical difficulties with electronic equipment, such as devices turning on and off by themselves, and batteries being drained unexpectedly.	True	True	1897-03-07	1	Evening	Ghost	Single Ghost	Unknown	Supernatural Phenomenon	18.5	11:35	6:44	6:19	unknown	unknown	unknown	Unknown	Unknown	Unknown	True	RGB(60, 48, 33)	Unknown	474x355
Canton	United States	an old railroad tunnel with 7 large steps leading up to the top. It is said that a boy was riding through on his bike and was hit by the train and now still haunts the tunnel. Some nights he will appear, but there are always sounds of train whistles, footsteps, and little kid laughing.	7 Steps	Pennsylvania	PA	-76.6962207	41.6580848	-76.8532927	41.656464		True	True	2025-01-01	0	Unknown	Ghost	Single Ghost	Unknown	Murder, Supernatural	18.5	09:14	Unknown	Unknown	unknown	unknown	unknown	Unknown	Unknown	Unknown	False	RGB(190, 179, 171)	car, car, car, person, person, person, person	474x474
Carbon County	United States	Jim Thorpe - The old Carbon County Prison was last used in 1995. There have been numerous reports of unexplained phenomena at the prison in recent years. The most famous ghost story associated with the prison is the hand print left in a cell by a man wrongfully accused of being a member of the Molly Maguires. The Molly Maguires were a group of disgruntled miners in the 1870's who used violence as a means to bring about change in the corrupt mining industry. Several men were accused, arrested, and eventually hanged at the prison for being Molly Maguires. On the eve of his execution, a man who proclaimed his innocence ran his hand along the dirty floor of his cell and made an impression of his hand on the wall, claiming the impression would always remain as proof of his innocence. The next day, he was hung and the hand print was washed away. Three days later, the print reappeared. As legend has it, the wall has been repeatedly washed and painted, but the hand print always returns. The wall was supposedly even ripped down and re-plastered, but the hand print returned yet again. The prison is now opened to tourist, but the cell with the hand print is off limits. Visitors can still view the print through the cell door, though.	old Carbon County Prison	Pennsylvania	PA	-75.78172529999999	40.8775327	-75.667356	40.901975		True	True	1995-03-07	0	Evening	Ghost	Several Ghosts	Unknown	Murder, Death	18.5	11:32	6:28	6:00	11.0	2.1	0.1	Unknown	Unknown	Unknown	True	RGB(122, 100, 66)	car	474x348
Carlisle	United States	Ashburn Hall Guest House  - Very haunted place. Haunted by Charlie, a confederate soldier who is a young boy, an Native American lady and the basement which was a morgue at one time.	Carlisle Barracks	Pennsylvania	PA	-77.16306689999999	40.2034861	-77.20027449999999	40.2010241		True	True	1757-03-07	0	Unknown	Unknown	Unknown	Unknown	Unknown	18.5	11:35	6:36	6:11	unknown	unknown	unknown	2	87.0	False	True	RGB(137, 138, 105)	Unknown	474x266
Carlisle	United States	Bandstand -  On Summer nights you can still her the Carlisle Indian School's band play.	Carlisle Barracks	Pennsylvania	PA	-77.16306689999999	40.2034861	-77.20027449999999	40.2010241		True	False	1757-03-07	0	Unknown	Unknown	Unknown	Unknown	Unknown	18.5	11:35	6:36	6:11	unknown	unknown	unknown	2	87.0	False	True	RGB(137, 138, 105)	Unknown	474x266
Carlisle	United States	Coren apartments -  Lucy Pretty Eagle's home at one time and a ghost who wants revenge against Jeb Stuart.	Carlisle Barracks	Pennsylvania	PA	-77.16306689999999	40.2034861	-77.20027449999999	40.2010241		True	True	1757-03-07	0	Unknown	Ghost	Single Ghost	Unknown	Supernatural Phenomenon	18.5	11:35	6:36	6:11	unknown	unknown	unknown	2	87.0	False	True	RGB(137, 138, 105)	Unknown	474x266
Carlisle	United States	Flower Road houses - A lady in a green dress walks in and out of the houses on this road. Also, may be the same lady in the LVCC.	Carlisle Barracks	Pennsylvania	PA	-77.16306689999999	40.2034861	-77.20027449999999	40.2010241		False	False	1757-03-07	0	Unknown	Unknown	Unknown	Unknown	Unknown	18.5	11:35	6:36	6:11	unknown	unknown	unknown	2	87.0	False	True	RGB(137, 138, 105)	Unknown	474x266
Carlisle	United States	Hessian Museum - Known to house Hessian prisoners. Any info on the things that happen there please email Haunted Places	Carlisle Barracks	Pennsylvania	PA	-77.16306689999999	40.2034861	-77.20027449999999	40.2010241		True	True	1757-03-07	0	Unknown	Unknown	Unknown	Unknown	Unknown	18.5	11:35	6:36	6:11	unknown	unknown	unknown	2	87.0	False	True	RGB(137, 138, 105)	Unknown	474x266
Carlisle	United States	Letort View Community Center - At least three ghosts hunt this place. Most likely many more. From Jim Thorpe, A lady in a ball gown, a farmer and Native Americans from the Carlisle Indian School. The basement is so haunted they call it purgatory.	Carlisle Barracks	Pennsylvania	PA	-77.16306689999999	40.2034861	-77.20027449999999	40.2010241		True	True	1757-03-07	0	Unknown	Orb, Ghost	Several Ghosts	Unknown	Supernatural Phenomenon	18.5	11:35	6:36	6:11	unknown	unknown	unknown	2	87.0	False	True	RGB(137, 138, 105)	Unknown	474x266
Carlisle	United States	Old gym  - Many hauntings from and little Native American boy to Jim Thorpe and a basketball team.	Carlisle Barracks	Pennsylvania	PA	-77.16306689999999	40.2034861	-77.20027449999999	40.2010241		False	True	1757-03-07	0	Unknown	Unknown	Unknown	Unknown	Unknown	18.5	11:35	6:36	6:11	unknown	unknown	unknown	2	87.0	False	True	RGB(137, 138, 105)	Unknown	474x266
Carlisle	United States	Washington Hall guest house - You may be awaken in the middle of the night hearing the cries of babies.	Carlisle Barracks	Pennsylvania	PA	-77.16306689999999	40.2034861	-77.20027449999999	40.2010241		True	True	1757-03-07	0	Evening	Unknown	Unknown	Unknown	Unknown	18.5	11:35	6:36	6:11	unknown	unknown	unknown	2	87.0	False	True	RGB(137, 138, 105)	Unknown	474x266
Carlisle	United States	A young Indian girl named Lucy Pretty Eagle. After her death at the school, reports of things moving and possibly sightings of her. When the told her father, he said that she had died the year before and came back. So it is possible that she wasn't dead when she was buried in the school cemetery. There could be other hauntings there; she is just the best known. You can still visit the cemetery and se her grave as well as many, many, others.	old Carlisle Indian school	Pennsylvania	PA	-77.1910987	40.2022372	-77.20027449999999	40.2010241		True	True	2024-12-07	0	Unknown	Unknown	Unknown	Unknown	Death	18.5	09:25	7:18	4:42	2.8	-3.5	0.0	Unknown	Unknown	Unknown	True	RGB(141, 141, 141)	person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person	474x267
Carlisle	United States	In the girls bathroom it is reported by female students that they see a girl in the mirror behind them.	North Dickinson Elementary School	Pennsylvania	PA	-77.25531749999999	40.1330055	-77.20027449999999	40.2010241		False	True	2025-01-01	1	Unknown	Ghost	Single Ghost	Female Ghost, Child Ghost	Unknown	18.5	09:23	Unknown	Unknown	unknown	unknown	unknown	Unknown	Unknown	Unknown	True	RGB(233, 234, 240)	Unknown	474x312
Carnegie	United States	"Reports of hearing an organ playing and seeing an apparition of a ""Blue Lady."" Many claim that she would knock on their door in the middle of the night saying that something was very wrong in the house though nothing was ever found out of the ordinary."	Old Lonsinger House	Pennsylvania	PA			-80.0833885	40.4086802		True	True	2008-08-07	1	Evening	Ghost	Several Ghosts	Female Ghost	Supernatural Phenomenon	18.5	14:05	6:23	8:27	unknown	unknown	unknown	Unknown	Unknown	Unknown	unknown	RGB(17, 17, 17)	Unknown	474x412
Cecil	United States	"Montour Trail ""HELL"" - Reports of unexplained lights that don’t shine. A short figure that has green eyes and a white hand on its left side. A little girl in a white dress that follows people. Strange noises, feeling of being followed. Outside one tunnel always rocks falling from the road, even thought the road is paved. There was supposedly a train wreck in the late 1800’s or early 1900’s where the trail is now located."	Peters Township	Pennsylvania	PA	-80.09800369999999	40.3016082	-80.1986649	40.3099159		True	True	1800-03-07	1	Morning	Orb, Ghost	Single Ghost	Unknown	Death, Supernatural	18.5	11:34	6:49	6:22	unknown	unknown	unknown	Unknown	Unknown	Unknown	True	RGB(132, 116, 76)	person	474x360
Centerhall	United States	Egg Hill is an old church where a reverend murdered the congregation after a sermon one night!! All of them are buried outside the church!! On a full moon sightings of people killed have been seen there are still blood stains on the floor of the and a picture of an anarchy drawn on the floor!! -  WARNING - There is no trespassing here. explorers have had a gun pulled on them and others claim that a man tries to make the visitors follow him away from the group.	Egg Hill	Pennsylvania	PA	-77.62522899999999	40.8283435	-77.6861093	40.8475635		True	True	2025-01-01	1	Evening	Ghost	Several Ghosts	Unknown	Unknown	18.5	09:19	Unknown	Unknown	unknown	unknown	unknown	Unknown	Unknown	Unknown	False	RGB(145, 138, 198)	Unknown	474x353
Chartiers Valley	United States	many different hauntings including large white figure that roams the property, shadow figures that dart in and out of hallways, phantom screams when nobody is around and also shuffling of feet and voices can be heard.	Old Kane Hospital	Pennsylvania	PA			-80.1316927	40.4052428		True	True	2025-01-01	0	Unknown	Ghost	Several Ghosts	Unknown	Murder, Supernatural	18.5	09:21	Unknown	Unknown	unknown	unknown	unknown	Unknown	Unknown	Unknown	unknown	RGB(113, 112, 87)	car	474x235
Chester	United States	Delta Phi Epsilon sorority - Residents of the house have said that they see and feel a presence of a woman in the top floor (3rd). They say she's friendly. She's turns on and off things and moves stuff around. There are other sightings at Widener University also, it was originally Pennsylvania Military College (PMC) many have said that they've seen a young soldier walking around in the traditional gray uniforms (not the type worn by the large contingency of ROTC cadets at the school now) but then quickly disappears.	Widener University	Pennsylvania	PA	-75.35667529999999	39.8633562	-75.3557457	39.849557		False	True	1821-03-07	1	Unknown	Ghost	Several Ghosts	Female Ghost	Murder, Supernatural	18.5	11:34	6:30	6:03	unknown	unknown	unknown	Unknown	Unknown	Unknown	True	RGB(51, 52, 33)	Unknown	474x332
Clearfield	United States	In auditorium there are reports by night crews that the old music teacher smokes vanilla pipe tobacco and plays the piano.	Clearfield Middle school	Pennsylvania	PA	-78.4824871	40.9926903	-78.4391876	41.0272796		True	False	2009-03-07	0	Evening	Unknown	Unknown	Unknown	Unknown	18.5	11:34	6:38	6:12	17.7	9.5	0.0	Unknown	Unknown	Unknown	True	RGB(29, 43, 33)	Unknown	320x240
Clifford	United States	It is said there are over 30 spirits haunting this place. There are voices heard in the main lobby of men, women, and children that were brutally murdered by a man who went insane in the hotel. Upstairs there is a very hostile man who doesn’t like anyone to go on that floor and will do anything to keep everyone off that floor. There have been sightings on certain nights that the hotel will be fully light up and there will be music coming from it. It is watched by the police heavily and there is NO TRESPASSING!!!!!!	Clifford Hotel	Pennsylvania	PA	-75.5990446	41.6484675	-75.5626039	41.685298		True	True	2025-01-01	0	Unknown	Ghost	Single Ghost	Unknown	Murder, Death	18.5	09:14	Unknown	Unknown	unknown	unknown	unknown	Unknown	Unknown	Unknown	False	RGB(164, 159, 150)	car	474x551
Coatsville	United States	It is said that a boy and girl got murdered by the owner of the house in the cellar so it's said that sometimes if you go down there you can hear the girl scream and he boy whisper.	Hibernia park Mansion	Pennsylvania	PA	-75.8412444	40.0306963	-75.8238355	39.9831616		True	True	2025-01-01	0	Unknown	Unknown	Unknown	Unknown	Murder, Death	18.5	09:24	Unknown	Unknown	unknown	unknown	unknown	Unknown	Unknown	Unknown	True	RGB(38, 52, 18)	Unknown	474x316
Colwyn	United States	Haunted by a Indian Princess who was killed during an electrical storm. Her body was never found, but there are burnt outlines of a person on the side of the rock. When you go into the park passed the rock, you smell herbs and feel a chocking sensation on your neck; as well as icy cold hands, scratches and rashes, and even bruises. Town people state that the story goes that Princess Anne's father refused to let her marry an English man and her ghost is very angry at who ever trespasses into the woods.	Anne's Rock	Pennsylvania	PA			-75.253794	39.9123351		True	True	2025-01-01	1	Unknown	Ghost	Single Ghost	Male Ghost	Death, Supernatural	18.5	09:24	Unknown	Unknown	unknown	unknown	unknown	Unknown	Unknown	Unknown	unknown	RGB(111, 127, 108)	frisbee	474x355
Conneaut	United States	During a fire in the early 1900's, a young bride named Elizabeth was killed while trying to escape from room 321 on the third floor. Her ghost has been seen walking down a narrow hallway on that same floor. Ironically enough, the fire escape is located at the end of the hall. Elizabeth seems to be a likable spirit though. She has been known to help employees by moving things around in various rooms. People have also reported seeing ghostly figures dancing in the ballroom, which is located on the first floor. Their origin is unknown.	Conneaut Lake Hotel	Pennsylvania	PA	-80.314221	41.632934	-80.30534159999999	41.6033874		True	True	1900-03-07	1	Morning	Ghost	Several Ghosts	Unknown	Murder, Death	18.5	11:31	6:47	6:18	unknown	unknown	unknown	Unknown	Unknown	Unknown	True	RGB(122, 144, 158)	Unknown	474x205
Conneaut Lake	United States	A hotel in an amusement park. It caught on fire and a young bride named Elizabeth was killed. they say that she is still seen in the hotel.	Hotel Conneaut	Pennsylvania	PA	-80.314221	41.632934	-80.30534159999999	41.6033874		True	True	2010-03-07	1	Unknown	Unknown	Unknown	Unknown	Unknown	18.5	11:32	6:46	6:18	5.7	-7.3	0.0	Unknown	Unknown	Unknown	True	RGB(122, 144, 158)	Unknown	474x205
Corry	United States	At night you can hear the voices of children & children's hand prints on your vehicle if you just drive out there.	Tamarax swamp	Pennsylvania	PA	-79.5589391	41.9975889	-79.6403287	41.9203337		True	True	2025-01-01	0	Evening	Unknown	Unknown	Unknown	Unknown	18.5	09:12	Unknown	Unknown	unknown	unknown	unknown	Unknown	Unknown	Unknown	False	RGB(220, 191, 159)	dog	474x266
Coulterville	United States	Reports an apparition of a fire that happened at an orphanage in the 1800’s. seeing a burning building, hearing children screaming, bells clanging, and horses.	13 bends	Pennsylvania	PA			-79.78747539999999	40.3056302		True	True	1800-03-07	1	Unknown	Ghost	Single Ghost	Unknown	Supernatural Phenomenon	18.5	11:34	6:47	6:21	unknown	unknown	unknown	Unknown	Unknown	Unknown	unknown	RGB(71, 80, 64)	Unknown	474x372
Covington	United States	It is heard that there are screams, and some people have seen little girls walking around. It is believed that in the 1800s little girls died of the bubonic plague. Most of the graves are coming out of the ground.	Fall Brook Cemetery	Pennsylvania	PA	-76.974572	41.68740400000001	-77.1255055	41.7271918		True	True	1900-03-07	3	Unknown	Unknown	Unknown	Unknown	Unknown	18.5	11:31	6:33	6:05	unknown	unknown	unknown	Unknown	Unknown	Unknown	False	RGB(38, 64, 51)	Unknown	333x249
Cranberry	United States	The present barn is a replacement, the original one having burnt down during a punk rock show in the early 1990s. Police have responded to many calls from nearby residents claiming to hear a loud party going on at the site, some even seeing cars parked all around the barn. Every time the police arrive, though, the barn is empty and silent.	Knob Hill Barn	Pennsylvania	PA	-80.11817060000001	40.6608427	-80.1071379	40.6849626		True	True	2025-01-01	1	Morning	Unknown	Unknown	Unknown	Murder	18.5	09:20	Unknown	Unknown	unknown	unknown	unknown	Unknown	Unknown	Unknown	True	RGB(135, 114, 101)	horse, chair, clock, chair, potted plant, chair, horse, dining table, potted plant, clock, chair, potted plant, bowl, potted plant	474x355
Cranberry	United States	The original owners claimed that there were at least twelve Indian burial mounds on this site that were later plowed under for farming. Workers clearing the land unearthed bones dating back to 200 BC. Pinehurst residents have reported countless unexplained phenomena.	Pinehurst Subdivision	Pennsylvania	PA			-80.1071379	40.6849626		True	True	2021-03-07	0	Evening	Unknown	Unknown	Unknown	Supernatural Phenomenon	18.5	11:34	6:44	6:18	unknown	unknown	unknown	Unknown	Unknown	Unknown	unknown	RGB(132, 143, 90)	Unknown	474x316
Cranberry	United States	The golf course is built atop the former Venango Trail, a Native American 'highway’. Indians in period dress supposedly emerge from the forest to cross the fairway before disappearing into thin air.	Venago Trail Golf Club	Pennsylvania	PA	-80.08918400000002	40.6724524	-80.1071379	40.6849626		True	True	2025-01-01	0	Unknown	Orb	Unknown	Unknown	Supernatural Phenomenon	18.5	09:20	Unknown	Unknown	unknown	unknown	unknown	Unknown	Unknown	Unknown	True	RGB(164, 162, 128)	Unknown	474x316
Crescent Township	United States	"The railroad on McGovern blvd. Is now haunted by a young mans spirit, in 2004 this young man was playing the game called ""chicken"" with some of his buddies near the tracks and stood right in front of the tracks as a train was fast coming down the tracks, of course the train could not stop but the boy did move out of the way, he did not move far enough though, and unfortunately the train hit him."	Railroad on McGovern Blvd.	Pennsylvania	PA	-80.23344	40.5690714	-80.22422639999999	40.55978959999999		True	True	2004-03-07	0	Unknown	Ghost	Single Ghost	Male Ghost	Murder	18.5	11:35	6:44	6:19	12.1	1.3	2.2	Unknown	Unknown	Unknown	True	RGB(50, 51, 38)	Unknown	474x354
Cressson	United States	This National Historic site at the summit of the Allegheny Portage Railroad was once a tavern and inn.  It is documented that people have died in the house.  National Park Service employees have reported strange noises of banging, and of windows and doors shutting at night.  Foggy nights are the most active times.	Lemon House	Pennsylvania	PA	-78.55156749999999	40.4563236	-78.59168369999999	40.4597938		True	True	2008-03-07	1	Evening	Unknown	Unknown	Unknown	Supernatural Phenomenon	18.5	11:35	6:37	6:12	6.2	-3.3	8.5	Unknown	Unknown	Unknown	True	RGB(130, 154, 187)	Unknown	474x771
Cumberland	United States	spook hollow - Back in the early 1900's a man was cheating on his wife.  He was doing this in a cabin somewhere back in the woods in the hollow.  Well one day his wife found out and went back with a gun and shot both of them.  And it is still said you can hear the screams of them getting killed some nights.	Newville	Pennsylvania	PA	-77.3985963	40.1731433	-77.2405153	40.1299841		True	True	1900-03-07	0	Morning	Ghost	Single Ghost	Unknown	Murder, Supernatural	18.5	11:33	6:34	6:07	unknown	unknown	unknown	Unknown	Unknown	Unknown	False	RGB(175, 200, 222)	potted plant, potted plant, potted plant, car, car, car, car	474x474
Cumberland County	United States	"Dykeman's Pond - There is a rumor that if you go to the house by the ponds and say ""I Got Your Baby,. Mary three times a Woman will come flying out of the house chasing you and will be crying, ""Please...Please...give me my Baby"" and if you refuse she will try to Kill you... oh yeah if anyone goes there not to be funny but stay away from the ducks, THEY WILL BITE YOU!"	Shippensburg	Pennsylvania	PA	-77.5202647	40.0506453	-77.2405153	40.1299841		True	True	1819-01-21	0	Unknown	Unknown	Unknown	Unknown	Murder, Death	18.5	09:47	7:32	5:19	unknown	unknown	unknown	Unknown	Unknown	Unknown	True	RGB(222, 203, 181)	Unknown	474x309
Curwensville	United States	During late night theatre practices, many have seen the reflection of an old man in pictures and windows when nobody else was there. His shadow is often seen in the lighting box. He is said to be the ghost of one of the men that were working on it when it was being built, he fell off the scaffolding onto the hard cement floor and it killed him instantly, not only does he show up in mirrors but he messes with the lights, and moves the curtains around on the stage. He sometimes says things to people in there as well but it always comes from above the person’s head like he was floating above them. One can never make out what he is saying, its mostly gibberish. Underneath the stage are the caves for like changing during a performances, which is where he looms most of the time, his presence can be felt very easily.	Curwensville High School Auditorium	Pennsylvania	PA	-78.51803	40.967416	-78.5250243	40.9756136		True	True	2025-01-01	1	Evening	Ghost	Several Ghosts	Male Ghost	Murder, Supernatural	18.5	09:18	Unknown	Unknown	unknown	unknown	unknown	Unknown	Unknown	Unknown	True	RGB(46, 37, 26)	person, person	474x842
Darktown	United States	Reports of trolls, Hellhounds, human forms, accompanied with unexplained noises and sights.	"""THE ALAMO"""	Pennsylvania	PA						True	True	1836-04-21	0	Unknown	Ghost	Single Ghost	Male Ghost	Supernatural Phenomenon	18.5	unknown	Unknown	Unknown	unknown	unknown	unknown	Unknown	Unknown	Unknown	unknown	Unknown	Unknown	Unknown
Delaware	United States	Williamson trade school - George dorm - is an old recovery dorm for soldiers who went to the school to recover, late at night you can hear footsteps and a feeling of being watched.	Media	Pennsylvania	PA	-75.387693	39.9167783	-75.3878525	39.907793	   42.961500°, -78.407681°  58 Alleghany Road, Corfu, New York Students at Pembroke Intermediate School in Corfu, New York once made claims that the auditorium was haunted by the spirit of a young girl named Mary, however this story was later revealed to have been fabricated by a teacher who worked at the school.	True	True	2025-01-01	0	Evening	UFO, Ghost	Single Ghost	Female Ghost, Child Ghost	Supernatural Phenomenon	18.5	09:24	Unknown	Unknown	unknown	unknown	unknown	Unknown	Unknown	Unknown	True	RGB(253, 254, 254)	Unknown	300x300
Delaware	United States	Williamson trade school - Longstreth Dorm - there is a hand print on the window, when wiped off it reappears.	Media	Pennsylvania	PA	-75.387693	39.9167783	-75.3878525	39.907793		False	False	2025-01-01	0	Unknown	UFO	Unknown	Unknown	Murder	18.5	09:24	Unknown	Unknown	unknown	unknown	unknown	Unknown	Unknown	Unknown	True	RGB(253, 254, 254)	Unknown	300x300
Delaware	United States	Williamson trade school - the main - is building where the founder Isaiah is buried under the steps, late at night an eerie feeling can be felt and your body casts 4 shadows in each direction	Media	Pennsylvania	PA	-75.387693	39.9167783	-75.3878525	39.907793		True	True	2025-01-01	0	Evening	UFO, Ghost	Single Ghost	Unknown	Supernatural Phenomenon	18.5	09:24	Unknown	Unknown	unknown	unknown	unknown	Unknown	Unknown	Unknown	True	RGB(253, 254, 254)	Unknown	300x300
Delaware County	United States	Indian Rock Park - The story goes back to the 1980's, when a girl overdosed on heroine in the woods of Indian Rock Park. Supposedly her and her friends would drink and do drugs in the woods and one night she had too much to drink and overdosed on heroine. When the teenagers drank in the woods they would bring a lantern with them so they could see and camp out. Well, it turns out the girl died, and if you go into the Indian Rock woods at night sometimes you can sight a girl walking slowly through the woods holding a lantern. Some sightings of this have been reported.	Springfield (near Drexel Hill)	Pennsylvania	PA	-75.2921301	39.9470567	-75.3878525	39.907793		True	True	1980-03-07	1	Evening	Ghost	Single Ghost	Unknown	Death	18.5	11:35	6:24	5:59	13.0	-0.1	0.0	Unknown	Unknown	Unknown	True	RGB(40, 50, 26)	kite, person, person, bird, person	474x316
Delmont	United States	this site will defiantly make the hair stand up on your neck. This house is a two story wooden farm house, but the weird thing is their is two of them. Completely identical, this house is supposedly to be haunted by John Mc Cory. Back in 1984 he was sent to an insane asylum, because he killed his two children and hung his wife in the back yard. After he was released, he built a replica of the house and hung himself on the back porch. Feelings of being watched and not being alone are reported.	McCorys farm	Pennsylvania	PA			-79.57032009999999	40.4131233		False	True	1984-03-07	0	Unknown	Ghost	Single Ghost	Unknown	Supernatural Phenomenon	18.5	11:34	6:42	6:16	unknown	unknown	unknown	Unknown	Unknown	Unknown	unknown	RGB(232, 231, 227)	person, person	474x365
